Commitments ,Main Category ,Additional Category [1],Additional Category [2],Additional Category [3],Additional Category [4],Policy , Source Heading ,Time Specified ,Political Party ,abbr
संवैधानिक व्यवस्थाअनुसार स्थानीय तहको राजनीतिक प्रणाली सामान्यतया लोकतान्त्रिक प्रणाली हुने भए तापनि त्यसलाई वास्तविक र जनसहभागितामूलक समावेशी लोकतन्त्रको अभ्यासलाई सजीव र जीवन्त रुपमा व्यवहारमा रुपान्तरण गरिनेछ ।,Inclusive Democracy ,N/A ,N/A ,N/A ,N/A ,No ,राजनीतिः जनसहभागितामूलक समावेशी लोकतन्त्रको जग नै स्थानीय तहः,No ,CPNM ,ID
प्रत्यक्ष निर्वाचन तथा स्वच्छ प्रतिस्पर्धात्मक दलगत प्रणालीलाई अवलम्बन गरिने छ ।,Inclusive Democracy ,N/A ,N/A ,N/A ,N/A ,No ,राजनीतिः जनसहभागितामूलक समावेशी लोकतन्त्रको जग नै स्थानीय तहः,No ,CPNM ,ID
"प्रेस र वाक स्वतन्त्रताको सुनिश्चिता, मानवअधिकारको संरक्षण, जनउत्तरदायी न्यायपालिकाको स्थापनामा जोड दिइने छ ।",Inclusive Democracy ,Press Freedom ,Freedom of speech ,Human rights ,Responsible judiciary ,No ,राजनीतिः जनसहभागितामूलक समावेशी लोकतन्त्रको जग नै स्थानीय तहः,No ,CPNM ,ID
समावेशी प्रणालीलाई समानुपातिक बनाउन जोड दिइने छ ।,Inclusive Democracy ,Inclusive System,N/A ,N/A ,N/A ,No ,राजनीतिः जनसहभागितामूलक समावेशी लोकतन्त्रको जग नै स्थानीय तहः,No ,CPNM ,ID
"समानुपातिक प्रणालीमा प्रत्येक समुदायबाट गरिबीको रेखामुनि रहेका किसान, मजदुरलगायतका श्रमजीवीहरुलाई प्राथमिकता दिइने छ ।",Inclusive Democracy ,Inclusive Representation,Poverty alleviation,N/A ,N/A ,No ,राजनीतिः जनसहभागितामूलक समावेशी लोकतन्त्रको जग नै स्थानीय तहः,No ,CPNM ,ID
"संवैधानिक व्यवस्थाअनुसार आदिवासी जनजाति, मधेशी, लोपोन्मुख समुदाय र पिछडिएको क्षेत्रलाई परिलक्षित गर्दै स्वायत्त क्षेत्र, संरक्षित क्षेत्र र विशेष क्षेत्रको व्यवस्था गरिए तापनि ती अझै सम्बोधन भइसकेको छैन । अतः ती सबै व्यवस्थाहरु सम्बोधन गर्नका लागि निरन्तर पर्यत्नरत रहने छ ।",Inclusive Democracy ,Inclusive Representation,N/A ,N/A ,N/A ,No ,राजनीतिः जनसहभागितामूलक समावेशी लोकतन्त्रको जग नै स्थानीय तहः,No ,CPNM ,ID
"महिला, दलित, मुस्लिम र अपाङ्गता भएका व्यक्तिहरुको सन्दर्भमा क्षतिपूर्तिसहितको विशेष अधिकारको व्यवस्था लागू गरिने छ ।",Inclusive Democracy ,Inclusive Representation,Special Rights,N/A ,N/A ,No ,राजनीतिः जनसहभागितामूलक समावेशी लोकतन्त्रको जग नै स्थानीय तहः,No ,CPNM ,ID
संविधानले स्थानीय तहलाई विभाजन गरिएको क्षेत्राधिकारहरुको प्रयोजनको लागि नगर सभा र गाउँ सभाहरुबाट जनमुखी ऐन तथा कानुनहरु बनाउन जोड दिइने छ ।,Inclusive Democracy ,Constitution ,Local level,N/A ,N/A ,Yes,राजनीतिः जनसहभागितामूलक समावेशी लोकतन्त्रको जग नै स्थानीय तहः,No ,CPNM ,ID
स्थानीय तहका सबै अंगहरुको बीचमासमन्वयात्मक रुपले सञ्चालन गरिने छ ।,Governance ,N/A ,N/A ,N/A ,N/A ,No ,सार्वजनिक प्रशासनको आधारः सुशासनः,No ,CPNM ,GV
"दैनिक प्रशासनलाई जनसेवामुखी, प्रभावकारी, छिटो छरितो, सरल, सर्वसुलभ, पारदर्शी र उत्तरदायी बनाइने छ ।",Governance ,N/A ,N/A ,N/A ,N/A ,No ,सार्वजनिक प्रशासनको आधारः सुशासनः,No ,CPNM ,GV
"सार्वजनिक प्रशासनलाई भ्रष्टाचार मुक्त बनाइने छ । योजनाहरु कार्यान्वयन भएको, नभएको अनुगमन र निरीक्षण प्रणालीलाई प्रभावकारी बनाइने छ ।",Governance ,Corruption free,N/A ,N/A ,N/A ,No ,सार्वजनिक प्रशासनको आधारः सुशासनः,No ,CPNM ,GV
"प्रशासनिक जनशक्तिको व्यवस्थापन गर्दा अनुभव, क्षमता र योग्यताअनुरुप उपयुक्त पात्रलाई उपयुक्त स्थानमा राख्ने मान्यतालाई अवलम्वन गरिने छ ।",Governance ,Meritocracy,N/A ,N/A ,N/A ,No ,सार्वजनिक प्रशासनको आधारः सुशासनः,No ,CPNM ,GV
"स्थानीय तहहरुको संचालन र व्यवस्थापन गर्दा संघ, प्रदेश र अन्य समकक्षी स्थानीय तहहरुबीच समन्वयात्मक सम्बन्धको विकास गरिने छ ।",Governance ,Local Government ,N/A ,N/A ,N/A ,No ,सार्वजनिक प्रशासनको आधारः सुशासनः,No ,CPNM ,GV
"स्थानीय तहमा केन्द्रित भएको अधिकारहरुमध्ये विगतमा गाउँ विकास समितिको कार्यालयमार्फत् प्रदान गरिदै आइरहेका सेवाहरु र विभिन्न इलाकीयस्तरबाट दिँदै आइरहेका सेवा केन्द्रहरुलाई वडास्तरमा क्षेत्राधिकार निक्षेपीकरण गरी वडाहरुबाट नै दैनिक सेवाहरुलाई सर्वसुलभ, छिटोछरितो र प्रभावकारी बनाइने छ ।",Governance ,Local Government ,N/A ,N/A ,N/A ,No ,सार्वजनिक प्रशासनको आधारः सुशासनः,No ,CPNM ,GV
नागरिकता प्रणालीमा प्यानको व्यवस्था गरिने छ ।,Governance ,Citizenship,Permanent Account Number,N/A ,N/A ,No ,सार्वजनिक प्रशासनको आधारः सुशासनः,No ,CPNM ,GV
कर प्रणालीलाई प्रगतिशील कर प्रणाली बनाइने छ ।,Governance ,Tax system,N/A ,N/A ,N/A ,No ,सार्वजनिक प्रशासनको आधारः सुशासनः,No ,CPNM ,GV
केन्द्र सरकारले स्थानीय तहको चालु कार्य प्रारम्भ गर्नका लागि प्रत्येक इकाइको लागि तत्काल रु. १ करोड सिधा निकास गरेझैं आगामी पहिलो आर्थिक वर्षमा कूल बजेटको कम्तिमा पनि ८० प्रतिशत पुँजीगत बजेट स्थानीय तहहरुलाई बजेट निकासा दिन जोड दिइने छ ।,Governance ,Disbursement,N/A ,N/A ,N/A ,No ,सार्वजनिक प्रशासनको आधारः सुशासनः,No ,CPNM ,GV
सरकारी रकमको बैंकिङ कारोबार बाणिज्य बैंक लगायतका राज्यको लगानीबाट संचालित बैंकहरुमार्फत् गरिने छ ।,Governance ,Commercial bank,N/A ,N/A ,N/A ,No ,सार्वजनिक प्रशासनको आधारः सुशासनः,No ,CPNM ,GV
